nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,codigo_interno,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial
TAMARINDO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,797,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,15
brotes mix,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,798,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,4.5
codorniz,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,799,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,5
ARROZ BOTAN,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,800,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,7.5
PILAS DURACELL AA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,801,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,5
PILAS DURACELL AAA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,802,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,5
ARANDANOS DESHIDRTADOS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,803,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,29
PANELA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,804,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,9.5
CHURRO PICANTE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,805,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,78
ESTERILLA DE BAMBU,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,806,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,11
LAVA VAJILLA SAPOLIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,807,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,5.5
ESPONJA DE ACERO CUADRADA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,808,0,0,Sin unidad,No,ABARROTES,,,DEL CARMEN,,,,
TAPER X 1L,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,,0,0,U,No,,,PAQUETE X 50 U,DEL CARMEN,,,,
